cohort,feat,auc,p,n1,n0,half_a,half_b,med_pos,med_neg,sep
t40,t40_zz20_hh,0.47855917667238423,0.713,55,53,0.4184149184149184,0.5446127946127947,1.0,1.0,0.021440823327615766
t40,pos_in_gxrange,0.4816466552315609,0.757,55,53,0.5477855477855478,0.4175084175084175,0.9076752660828248,0.9571595822851646,0.018353344768439084
t40,leg_dur_min,0.48198970840480276,0.763,55,53,0.5407925407925408,0.4090909090909091,1.0,1.0,0.018010291595197236
t40,t40_lowcad_s,0.483704974271012,0.742,55,53,0.5565268065268065,0.4006734006734007,0.0,0.0,0.016295025728988
t40,t40_maxretr_r,0.5150943396226415,0.791,55,53,0.578088578088578,0.44276094276094274,0.30666666666666664,0.3,0.015094339622641506
t40,zz40_vs_lastlow_t,0.5145797598627787,0.771,55,53,0.4324009324009324,0.6380471380471381,98.13437536785204,71.84247585765843,0.014579759862778707
t40,zz20_uppurity,0.5145797598627787,0.787,55,53,0.5973193473193473,0.398989898989899,0.75,0.5,0.014579759862778707
t40,t40_below_prelow_t,0.48576329331046314,0.776,55,53,0.585081585081585,0.3409090909090909,-36.0,-2.0,0.01423670668953686
t40,zz40_hh,0.513893653516295,0.818,55,53,0.5093240093240093,0.5117845117845118,1.0,1.0,0.013893653516295013
t40,gx_ret_r,0.48662092624356773,0.821,55,53,0.585081585081585,0.3846801346801347,1.06,1.06,0.01337907375643227
t40,zz20_vs_lastlow_t,0.5132075471698113,0.818,55,53,0.4125874125874126,0.6599326599326599,96.36726762795297,62.949783742034924,0.013207547169811318
t40,zz20_hl,0.488336192109777,0.842,55,53,0.5751748251748252,0.37542087542087543,1.0,1.0,0.011663807890222977
t40,zz20_lows_above,0.48867924528301887,0.838,55,53,0.5297202797202797,0.4452861952861953,0.0,0.0,0.01132075471698113
t40,mom_5m_r,0.4902229845626072,0.868,55,53,0.4405594405594406,0.5471380471380471,0.5872320207610998,0.6526523782601968,0.009777015437392789
t40,leg_eff,0.49387755102040815,0.906,35,35,0.4219948849104859,0.6064814814814815,-1.0,-0.4126984126984127,0.006122448979591855
t40,above_gxhigh,0.5018867924528302,1.0,55,53,0.5238927738927739,0.4823232323232323,0.0,0.0,0.0018867924528301883
